Year,Research_Development_Value,Variable,Breakdown,Category,Status,Unit,Footnotes,Sampling_Error
-1.7140771307017215,1255,0,0,30,0,0,69,830
-0.8173878937766182,1245,0,0,30,0,0,69,1225
-0.3690432753140665,1,0,0,30,0,0,69,2
0.07930134314848519,1299,0,0,30,0,0,69,970
0.5276459616110369,1,0,0,30,0,0,69,2
0.9759905800735886,1272,0,0,30,0,0,69,1096
1.4243351985361403,1,0,0,30,0,0,69,2
-1.7140771307017215,951,0,0,34,0,0,88,1065
-0.8173878937766182,1249,0,0,34,0,0,88,596
-0.3690432753140665,1,0,0,34,0,0,88,2
0.07930134314848519,439,0,0,34,0,0,88,1344
0.5276459616110369,1,0,0,34,0,0,88,2
0.9759905800735886,835,0,0,34,0,0,88,97
1.4243351985361403,1,0,0,34,0,0,88,2
-1.7140771307017215,1103,0,0,36,0,0,69,1528
-0.8173878937766182,1104,0,0,36,0,0,69,23
-0.3690432753140665,1,0,0,36,0,0,69,2
0.07930134314848519,1218,0,0,36,1,0,69,1427
0.5276459616110369,1,0,0,36,0,0,69,2
0.9759905800735886,1198,0,0,36,1,0,69,1418
1.4243351985361403,1,0,0,36,0,0,69,2
-1.7140771307017215,1047,0,0,44,0,0,88,1135
-0.8173878937766182,1047,0,0,44,0,0,88,1319
-0.3690432753140665,1,0,0,44,0,0,88,2
0.07930134314848519,615,0,0,44,0,0,88,1092
0.5276459616110369,1,0,0,44,0,0,88,2
0.9759905800735886,1020,0,0,44,1,0,88,1364
1.4243351985361403,1,0,0,44,0,0,88,2
-1.7140771307017215,274,0,0,46,0,0,69,68
-0.8173878937766182,214,0,0,46,0,0,69,1192
-0.3690432753140665,1,0,0,46,0,0,69,2
0.07930134314848519,561,0,0,46,0,0,69,1163
0.5276459616110369,1,0,0,46,0,0,69,2
0.9759905800735886,642,0,0,46,0,0,69,1156
1.4243351985361403,1,0,0,46,0,0,69,2
-1.7140771307017215,219,0,0,49,0,0,69,569
-0.8173878937766182,569,0,0,49,0,0,69,1095
-0.3690432753140665,1,0,0,49,0,0,69,2
0.07930134314848519,390,0,0,49,0,0,69,757
0.5276459616110369,1,0,0,49,0,0,69,2
0.9759905800735886,428,0,0,49,0,0,69,120
